berat,kekenyalan,kadar_gula,tebal_kulit,grade
95,8.5,4.8,0.85,Ekspor
88,9.2,5.1,0.90,Ekspor
102,8.8,4.9,0.82,Ekspor
110,8.1,4.6,0.88,Ekspor
92,9.0,5.0,0.87,Ekspor
98,8.7,4.7,0.83,Ekspor
105,8.3,4.8,0.89,Ekspor
85,9.1,5.2,0.91,Ekspor
100,8.6,4.9,0.84,Ekspor
108,8.4,4.7,0.86,Ekspor
93,8.9,5.0,0.88,Ekspor
97,8.8,4.8,0.85,Ekspor
112,8.0,4.6,0.90,Ekspor
89,9.3,5.1,0.92,Ekspor
101,8.5,4.9,0.83,Ekspor
96,8.7,4.8,0.87,Ekspor
103,8.2,4.7,0.89,Ekspor
91,9.0,5.0,0.86,Ekspor
99,8.6,4.9,0.84,Ekspor
107,8.4,4.6,0.88,Ekspor
94,8.8,4.8,0.85,Ekspor
106,8.3,4.7,0.91,Ekspor
87,9.2,5.1,0.89,Ekspor
104,8.1,4.9,0.87,Ekspor
90,9.1,5.0,0.83,Ekspor
98,8.9,4.8,0.86,Ekspor
109,8.2,4.6,0.90,Ekspor
86,9.4,5.2,0.88,Ekspor
102,8.5,4.7,0.84,Ekspor
95,8.7,4.9,0.85,Ekspor
145,6.8,4.2,0.72,Lokal Premium
132,7.1,3.8,0.75,Lokal Premium
158,6.5,4.0,0.70,Lokal Premium
125,7.4,4.1,0.73,Lokal Premium
140,6.9,3.9,0.74,Lokal Premium
150,6.6,4.3,0.71,Lokal Premium
135,7.2,3.7,0.76,Lokal Premium
162,6.4,4.0,0.69,Lokal Premium
128,7.5,4.2,0.77,Lokal Premium
148,6.7,3.8,0.72,Lokal Premium
138,7.0,4.1,0.74,Lokal Premium
155,6.3,3.9,0.70,Lokal Premium
142,6.8,4.0,0.75,Lokal Premium
130,7.3,4.2,0.73,Lokal Premium
160,6.5,3.8,0.71,Lokal Premium
136,7.1,4.1,0.76,Lokal Premium
152,6.6,3.9,0.68,Lokal Premium
126,7.4,4.3,0.77,Lokal Premium
146,6.9,3.7,0.72,Lokal Premium
134,7.0,4.0,0.74,Lokal Premium
156,6.4,3.8,0.70,Lokal Premium
144,6.7,4.1,0.75,Lokal Premium
129,7.2,4.2,0.73,Lokal Premium
149,6.8,3.9,0.71,Lokal Premium
137,7.1,4.0,0.76,Lokal Premium
153,6.5,3.8,0.69,Lokal Premium
127,7.3,4.3,0.77,Lokal Premium
147,6.6,3.7,0.72,Lokal Premium
133,7.0,4.1,0.74,Lokal Premium
159,6.4,3.9,0.70,Lokal Premium
180,4.2,3.1,0.58,Industri
195,3.8,2.9,0.55,Industri
172,4.5,3.3,0.60,Industri
205,3.5,2.7,0.52,Industri
188,4.1,3.0,0.57,Industri
176,4.6,3.4,0.61,Industri
200,3.7,2.8,0.54,Industri
165,4.8,3.2,0.59,Industri
192,3.9,2.9,0.56,Industri
184,4.3,3.1,0.58,Industri
178,4.4,3.3,0.60,Industri
198,3.6,2.8,0.53,Industri
170,4.7,3.4,0.62,Industri
210,3.4,2.6,0.51,Industri
186,4.0,3.0,0.57,Industri
174,4.5,3.2,0.59,Industri
202,3.8,2.9,0.55,Industri
168,4.9,3.5,0.63,Industri
196,3.7,2.7,0.54,Industri
182,4.1,3.1,0.58,Industri
190,3.9,2.8,0.56,Industri
176,4.6,3.3,0.60,Industri
204,3.5,2.9,0.52,Industri
166,4.8,3.4,0.61,Industri
194,3.8,2.7,0.55,Industri
180,4.2,3.0,0.57,Industri
208,3.4,2.8,0.53,Industri
172,4.7,3.2,0.59,Industri
188,4.0,2.9,0.56,Industri
198,3.6,2.6,0.54,Industri
